model,subject,log_evidence,nll,parameters,transformed_parameters
io_fixed_freq,6,177.416772579593,-177.416772579593,3.4533037296209,0.969329512332536
io_fixed_freq,7,143.239609815413,-143.239609815413,3.26925678265882,0.963358946310569
io_fixed_freq,8,170.973098139482,-170.973098139482,6.63863185656602,0.998692894093604
io_fixed_freq,9,167.824891332266,-167.824891332266,4.51172535710712,0.989139739962576
io_fixed_freq,10,160.139233369637,-160.139233369637,4.46259968328286,0.988599134854606
io_fixed_freq,11,192.678916319094,-192.678916319094,6.82249144936812,0.998912180299979
io_fixed_freq,13,136.06706122696,-136.06706122696,8.08004403292787,0.999690438458026
io_fixed_freq,14,185.135024591702,-185.135024591702,3.1002662693167,0.956903727071056
io_fixed_freq,15,152.955605086844,-152.955605086844,3.88631386496425,0.979891788170375
io_fixed_freq,16,173.671255000981,-173.671255000981,4.69478093749796,0.99093996471636
io_fixed_freq,17,178.563053757385,-178.563053757385,11.9316674623401,0.999993421304214
io_fixed_freq,18,183.397069605825,-183.397069605825,3.23172751037999,0.962010936753902
io_fixed_freq,19,162.370290636332,-162.370290636332,4.34685837428455,0.987218068381895
io_fixed_freq,20,197.82170085909,-197.82170085909,4.45253851583051,0.988485177349202
io_fixed_freq,21,105.791516919448,-105.791516919448,3.12538763646692,0.957927897398527
io_fixed_freq,22,154.687616989339,-154.687616989339,6.92807746492464,0.999021076312657
io_fixed_freq,23,203.403319308138,-203.403319308138,5.30543596223634,0.995059991430083
io_fixed_freq,24,172.474098176171,-172.474098176171,7.50813092705867,0.999451695288213
io_fixed_freq,25,179.497510337744,-179.497510337744,5.69989712807618,0.996664850761106
io_fixed_freq,26,183.741380062876,-183.741380062876,6.97778860830852,0.999068505746173
io_fixed_freq,27,174.575934917051,-174.575934917051,9.19314613605522,0.999898276058046
io_fixed_freq,28,155.569318778577,-155.569318778577,5.35892810563224,0.995316094530198
io_fixed_freq,29,217.37827224399,-217.37827224399,5.91666880926514,0.997313078989058
io_fixed_freq,30,147.832134327752,-147.832134327752,7.25306806303599,0.99929250203968
io_fixed_freq,31,198.520511133222,-198.520511133222,3.99427693718883,0.98191242591492
io_fixed_freq,32,210.008302054686,-210.008302054686,3.40396854316595,0.967828332126034
io_fixed_freq,33,113.515897468292,-113.515897468292,4.04272704479079,0.982753126157428
io_fixed_freq,36,144.303067900602,-144.303067900602,4.96738900624666,0.993086824452361
io_fixed_freq,37,161.916014439724,-161.916014439724,7.08262980266429,0.99916114191432
io_fixed_freq,38,158.061447380887,-158.061447380887,7.34595428172407,0.999355218637208
io_fixed_freq,39,97.8945779857656,-97.8945779857656,3.56199326544198,0.972401121701501
io_fixed_freq,41,157.490490006363,-157.490490006363,3.40803275835794,0.967954637852854
io_fixed_freq,42,130.308629892819,-130.308629892819,3.12258225367122,0.957814689386778
io_fixed_freq,43,142.268835526882,-142.268835526882,5.74366204890199,0.996807209396737
io_fixed_freq,44,141.333137753447,-141.333137753447,7.2680198650398,0.999302994400598
io_fixed_trans,6,172.142343632376,-172.142343632376,3.18439687150129,0.960242863339613
io_fixed_trans,7,139.910437225299,-139.910437225299,3.77909352373583,0.977666777458194
io_fixed_trans,8,176.192049127501,-176.192049127501,8.34644675112667,0.999762818280332
io_fixed_trans,9,171.290505739495,-171.290505739495,6.1759047620931,0.997925388824699
io_fixed_trans,10,158.518801062713,-158.518801062713,3.18448739817581,0.960246319187825
io_fixed_trans,11,198.460789439849,-198.460789439849,8.24345485270528,0.999737094995926
io_fixed_trans,13,128.445158792469,-128.445158792469,6.37331611654385,0.998296416240575
io_fixed_trans,14,175.939087867269,-175.939087867269,3.06563412303121,0.955452717428366
io_fixed_trans,15,153.915797693309,-153.915797693309,4.22458258660912,0.98557955114915
io_fixed_trans,16,173.588111165514,-173.588111165514,5.03430708505116,0.993531407197414
io_fixed_trans,17,172.923737520926,-172.923737520926,5.96179587275863,0.997431332110364
io_fixed_trans,18,189.104761390325,-189.104761390325,3.1211232361073,0.957755697352105
io_fixed_trans,19,160.084153083683,-160.084153083683,3.7078209632541,0.976056438710301
io_fixed_trans,20,197.998566366228,-197.998566366228,3.81617427071003,0.978462234690334
io_fixed_trans,21,102.328187945459,-102.328187945459,6.60829274008287,0.998652684202981
io_fixed_trans,22,156.828389302753,-156.828389302753,7.72775067185223,0.999559760212795
io_fixed_trans,23,206.861305398573,-206.861305398573,8.43552577892865,0.999783028114854
io_fixed_trans,24,172.199337473785,-172.199337473785,4.82732215578806,0.992055681016293
io_fixed_trans,25,182.41339602466,-182.41339602466,6.1369160660013,0.997843082829567
io_fixed_trans,26,182.207244590335,-182.207244590335,5.20871808807863,0.994561064235106
io_fixed_trans,27,166.849094170692,-166.849094170692,5.96486779860426,0.997439190584413
io_fixed_trans,28,155.008596418475,-155.008596418475,6.63010886651524,0.998681720781817
io_fixed_trans,29,218.22224883464,-218.22224883464,6.03212941214919,0.997605370872638
io_fixed_trans,30,144.347416314439,-144.347416314439,10.54079642193,0.99997356503143
io_fixed_trans,31,197.199418933616,-197.199418933616,3.9320911144592,0.980774237367045
io_fixed_trans,32,208.300322839274,-208.300322839274,3.34390552654772,0.965904696585664
io_fixed_trans,33,110.612538919105,-110.612538919105,5.74477283855219,0.996810742642023
io_fixed_trans,36,141.791319745395,-141.791319745395,5.59687348993952,0.996304265898918
io_fixed_trans,37,157.686145934998,-157.686145934998,4.1750597702438,0.984858516591527
io_fixed_trans,38,160.484722603133,-160.484722603133,11.4472148180044,0.999989320937371
io_fixed_trans,39,96.9992581270814,-96.9992581270814,3.87546395449844,0.979676886086873
io_fixed_trans,41,154.700825436866,-154.700825436866,4.55023730707358,0.9895457489854
io_fixed_trans,42,119.452733536948,-119.452733536948,3.20957475601476,0.961193006619827
io_fixed_trans,43,145.788300235918,-145.788300235918,3.49474148923802,0.97053777781569
io_fixed_trans,44,140.328303522493,-140.328303522493,7.12549754734592,0.999196313714232
io_jump_freq,6,178.733771892855,-178.733771892855,-0.538957844031598,0.368430047588387
io_jump_freq,7,147.873060441121,-147.873060441121,1.43357985019039,0.807458485154481
io_jump_freq,8,175.723039959529,-175.723039959529,-1.99320563015497,0.119918134974754
io_jump_freq,9,170.060530298008,-170.060530298008,-0.570312359793323,0.361164752583474
io_jump_freq,10,164.727581650406,-164.727581650406,-0.00262385797539091,0.499344035882491
io_jump_freq,11,196.556895178438,-196.556895178438,-1.9121484953284,0.128739672230834
io_jump_freq,13,138.767892948763,-138.767892948763,-1.36789313012257,0.202960456236245
io_jump_freq,14,187.72960063907,-187.72960063907,0.0751846359195424,0.518787309848531
io_jump_freq,15,157.05406751193,-157.05406751193,0.142569317638399,0.535582079673993
io_jump_freq,16,178.25389389566,-178.25389389566,0.775514842940637,0.684712655821384
io_jump_freq,17,183.238740391896,-183.238740391896,-2.97527772814448,0.0485553223391386
io_jump_freq,18,186.555727596678,-186.555727596678,0.37939888160797,0.593728112309969
io_jump_freq,19,169.679470335539,-169.679470335539,1.89576432208351,0.869411378964467
io_jump_freq,20,202.83035743149,-202.83035743149,0.274107100846572,0.568100913054598
io_jump_freq,21,107.654245277664,-107.654245277664,-0.14380348969276,0.46411095339763
io_jump_freq,22,158.775911734235,-158.775911734235,-1.94323345357852,0.125293057552486
io_jump_freq,23,209.483327378605,-209.483327378605,-0.886874016018273,0.291755341779598
io_jump_freq,24,175.97171207524,-175.97171207524,-1.06428926103242,0.25649062496824
io_jump_freq,25,182.82758766359,-182.82758766359,-2.22303478881046,0.0977009442416198
io_jump_freq,26,187.254413344844,-187.254413344844,-2.30978733500382,0.0903156154614038
io_jump_freq,27,179.673532079822,-179.673532079822,-3.75149342079491,0.0229438673670158
io_jump_freq,28,158.57994866206,-158.57994866206,-0.728498559326325,0.32552429467485
io_jump_freq,29,219.971189479831,-219.971189479831,-0.891291345716827,0.290843410912306
io_jump_freq,30,155.580157735127,-155.580157735127,-1.34948649024724,0.20595433704123
io_jump_freq,31,204.249899394508,-204.249899394508,1.57860398091086,0.829006716759672
io_jump_freq,32,214.174874000323,-214.174874000323,0.597445657525026,0.645071695732764
io_jump_freq,33,126.358496804829,-126.358496804829,3.31675405984889,0.964999122514876
io_jump_freq,36,149.757305543637,-149.757305543637,0.454902432396776,0.611804196966173
io_jump_freq,37,166.23415949362,-166.23415949362,-0.677917225602764,0.336726314676754
io_jump_freq,38,164.421975317478,-164.421975317478,-1.93944725074102,0.12570859437671
io_jump_freq,39,100.574485605064,-100.574485605064,0.476394176188622,0.616896051241585
io_jump_freq,41,163.145618786763,-163.145618786763,1.41543179045226,0.804621266201938
io_jump_freq,42,141.255787928252,-141.255787928252,1.64910683913668,0.838770300640894
io_jump_freq,43,147.938926906376,-147.938926906376,0.754888521580111,0.68024294923839
io_jump_freq,44,143.140085798922,-143.140085798922,-1.84370803311552,0.136613339950434
io_jump_trans,6,177.437633040743,-177.437633040743,1.75565200209704,0.852664267445432
io_jump_trans,7,144.306114949788,-144.306114949788,1.18793186787833,0.766370976414297
io_jump_trans,8,180.366575010673,-180.366575010673,-0.916983696806639,0.28557288530205
io_jump_trans,9,178.174253894653,-178.174253894653,-0.66385501116308,0.339874169175588
io_jump_trans,10,162.484721569903,-162.484721569903,1.40088042337957,0.802323561283405
io_jump_trans,11,207.908816464016,-207.908816464016,-1.62124442507621,0.165033320258967
io_jump_trans,13,133.842594132549,-133.842594132549,-0.00500877767901948,0.498747808198144
io_jump_trans,14,180.074345294465,-180.074345294465,3.09839168607886,0.956826354915642
io_jump_trans,15,158.001538002908,-158.001538002908,-0.110781850731163,0.47233282725242
io_jump_trans,16,177.522763542306,-177.522763542306,0.402656686956037,0.59932579002007
io_jump_trans,17,176.609602249665,-176.609602249665,1.55288046328583,0.825329370936517
io_jump_trans,18,191.231815729371,-191.231815729371,1.44670168255644,0.809490300635605
io_jump_trans,19,165.483647292449,-165.483647292449,2.16338620072241,0.896913057809085
io_jump_trans,20,203.019296270346,-203.019296270346,0.457841865630905,0.612502081978608
io_jump_trans,21,105.659584436928,-105.659584436928,2.04079361435406,0.885014054147124
io_jump_trans,22,161.974198032419,-161.974198032419,-0.828838714539787,0.30389067385611
io_jump_trans,23,210.631337507376,-210.631337507376,-2.17596276873822,0.101929903365353
io_jump_trans,24,175.730002855422,-175.730002855422,0.588961829879849,0.643126905823802
io_jump_trans,25,188.025502130002,-188.025502130002,-0.542959852780799,0.367499314097809
io_jump_trans,26,186.971632673414,-186.971632673414,-0.463033296207522,0.386266488830292
io_jump_trans,27,172.276988033406,-172.276988033406,-0.608355881853694,0.352434334656301
io_jump_trans,28,159.665776767476,-159.665776767476,-0.620188789624071,0.349738515391406
io_jump_trans,29,222.251505290675,-222.251505290675,-1.00313782730045,0.268324934550556
io_jump_trans,30,154.236854189341,-154.236854189341,-1.85149552318931,0.135697401059517
io_jump_trans,31,202.064762310594,-202.064762310594,-0.00808775682207157,0.497978071815969
io_jump_trans,32,212.370491268704,-212.370491268704,1.13596202287658,0.756937490342962
io_jump_trans,33,117.909741336409,-117.909741336409,-3.45177106628571,0.0307160862466887
io_jump_trans,36,145.96760685956,-145.96760685956,0.735372005142531,0.675983013338148
io_jump_trans,37,162.422224308254,-162.422224308254,1.41875851629761,0.805143717150719
io_jump_trans,38,165.342522769674,-165.342522769674,-1.89157304919742,0.131065215394824
io_jump_trans,39,100.174618075637,-100.174618075637,0.977170720511659,0.726546464867899
io_jump_trans,41,159.560075037926,-159.560075037926,2.01623503072758,0.882491141724265
io_jump_trans,42,124.408245180523,-124.408245180523,3.55656752133419,0.972255136207765
io_jump_trans,43,147.367140897431,-147.367140897431,0.226135241260298,0.556294121126985
io_jump_trans,44,145.761417132169,-145.761417132169,-0.727509116801232,0.325741572414346
random,6,175.532537395969,-175.532537395969,0.0931225755876269,0.523263834688753
random,7,148.564498854049,-148.564498854049,-0.0134346637315493,0.496641384583388
random,8,166.246001488128,-166.246001488128,0.0230656296669498,0.505766151775093
random,9,162.521294413901,-162.521294413901,0.312306423231178,0.577448132816614
random,10,164.032878300607,-164.032878300607,0.455288912226315,0.611895981889542
random,11,178.791460892907,-178.791460892907,-0.305320356554568,0.424257395787695
random,13,134.810733708123,-134.810733708123,-0.41495848223825,0.397723768216035
random,14,185.9659909184,-185.9659909184,-0.445204755133412,0.390501481494644
random,15,156.344266003111,-156.344266003111,0.462371052744408,0.613576504809588
random,16,178.73199444264,-178.73199444264,0.251740312704993,0.562604804703738
random,17,178.278654289571,-178.278654289571,-0.271657899901324,0.432500128387286
random,18,185.246167021761,-185.246167021761,0.08494160342619,0.521222642142735
random,19,170.708742692462,-170.708742692462,-0.423931076876676,0.395576461686144
random,20,202.585969794536,-202.585969794536,0.146543576978431,0.536570471689424
random,21,104.548946372945,-104.548946372945,0.315982568198844,0.578344862438712
random,22,150.555703185782,-150.555703185782,-0.0593847428940544,0.485158175720238
random,23,209.558240637906,-209.558240637906,0.322069999214154,0.579828643817894
random,24,174.562153781136,-174.562153781136,-0.328778087172737,0.418537963039847
random,25,175.87913352273,-175.87913352273,0.813582511566261,0.692872389940489
random,26,185.443021065508,-185.443021065508,0.233190949739164,0.558034989822137
random,27,173.318806398815,-173.318806398815,0.352576839237421,0.587242315933066
random,28,155.685947899024,-155.685947899024,-0.142060863878928,0.464544392305892
random,29,217.910408771664,-217.910408771664,-0.186631792038533,0.453477012162169
random,30,141.357589417938,-141.357589417938,0.0657285884263837,0.516426233749652
random,31,204.774826535443,-204.774826535443,-0.0675479662218261,0.483119426411618
random,32,213.811676404073,-213.811676404073,0.500623311516771,0.622605800537361
random,33,128.925125645178,-128.925125645178,0.370548149514084,0.591591424037301
random,36,148.801970489935,-148.801970489935,0.252746274341239,0.562852336775462
random,37,164.366145910564,-164.366145910564,-0.188528574210872,0.45300696361229
random,38,157.196908176624,-157.196908176624,0.414386104816406,0.602139116718022
random,39,100.969801078022,-100.969801078022,0.719645381521635,0.672528922881858
random,41,163.846061130614,-163.846061130614,0.142142776980218,0.535475982937275
random,42,142.81211943157,-142.81211943157,-0.0302397924544923,0.492440627930127
random,43,148.415331709374,-148.415331709374,-0.134179703458917,0.466505312796006
random,44,132.484641468023,-132.484641468023,0.317607756332951,0.578741133659088
rw,6,176.454353589979,-176.454353589979,-0.464425516693259,0.38593649481986
rw,7,142.668283425047,-142.668283425047,-0.233097683116157,0.441988012830519
rw,8,172.542822733235,-172.542822733235,0.80172752009935,0.690343893100556
rw,9,171.034025439835,-171.034025439835,0.643791313993021,0.655609988747725
rw,10,160.905294680585,-160.905294680585,-0.496501193398582,0.378363252944256
rw,11,201.587640533712,-201.587640533712,-0.167619648004633,0.458192927691189
rw,13,141.233305251734,-141.233305251734,-0.87281150091219,0.2946696240944
rw,14,178.912597351427,-178.912597351427,-1.13198924676156,0.243794179319034
rw,15,156.283284644002,-156.283284644002,0.108305969574885,0.527050055719657
rw,16,177.268786078792,-177.268786078792,0.221999357821474,0.555273020714897
rw,17,181.421139552564,-181.421139552564,-1.03840069586102,0.261458698585719
rw,18,187.412227646568,-187.412227646568,2.06903050670846,0.887856467846584
rw,19,164.183981387071,-164.183981387071,-0.714437396520715,0.328619080211193
rw,20,202.414692057506,-202.414692057506,0.707756820410585,0.669905309793641
rw,21,102.084745292392,-102.084745292392,0.0337760516081395,0.508443210234202
rw,22,161.517089941102,-161.517089941102,-0.229430036681272,0.442892772865486
rw,23,209.608224757987,-209.608224757987,1.14861607330313,0.759258046309358
rw,24,175.706903443163,-175.706903443163,0.17047339268684,0.542515435621868
rw,25,185.352746722075,-185.352746722075,0.29286062514176,0.572696316646065
rw,26,188.084687606852,-188.084687606852,-0.237823958205305,0.440822671503498
rw,27,176.541818768861,-176.541818768861,-1.27658042716061,0.218132872716416
rw,28,160.532818138899,-160.532818138899,-0.179957983767694,0.455131527078619
rw,29,222.752824618912,-222.752824618912,0.249816623245357,0.562131365101999
rw,30,143.019737177392,-143.019737177392,-0.718666087503928,0.327686787160737
rw,31,200.931128083299,-200.931128083299,0.373781607394015,0.592372431083654
rw,32,210.869257903122,-210.869257903122,0.0779247077620567,0.519471325025057
rw,33,112.602905135845,-112.602905135845,0.325278133218505,0.580610032339978
rw,36,142.267935257212,-142.267935257212,-0.178825827450984,0.455412301156305
rw,37,164.869287478602,-164.869287478602,-0.624562225125823,0.348744556962529
rw,38,163.99608411772,-163.99608411772,-1.00403104726928,0.268149607946996
rw,39,100.070576571303,-100.070576571303,0.350865492849867,0.586827442932879
rw,41,158.40783947092,-158.40783947092,-0.724608954425874,0.326378868307167
rw,42,116.140078977969,-116.140078977969,-0.301882357172525,0.425097389939473
rw,43,150.786709518828,-150.786709518828,2.76768401878982,0.940904341614844
rw,44,144.568912046067,-144.568912046067,-0.484950954339542,0.381083712988684
